%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8,dt,ux,uz,sx,sz
3184827800,770708,1.64454093960848E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38245934248,-9.62032318115,0.725692093372,0,0,0,0,0,0,0,0,0,0.002013952,0.000770254757706,0.001461509042831,2.32688416468812E-06,4.41511358974054E-06
3186856000,770709,1.6445409396105E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362846046686,-9.61051654816,0.725692093372,0,0,0,0,0,0,0,0,0,0.002013696,0.000730661632827,0.001461323265655,2.20699561106704E-06,4.41399122213408E-06
3188783300,770710,1.64454093961251E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38245934248,-9.58109664917,0.696272134781,0,0,0,0,0,0,0,0,0,0.002013952,0.000770254757706,0.001402258658386,2.32688416468812E-06,4.23612244436211E-06
3190796300,770711,1.64454093961453E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.64974308014,0.725692093372,0,0,0,0,0,0,0,0,0,0.002016256,0.000810681369354,0.001463181037414,2.45181176257162E-06,4.42522131865787E-06
3192820900,770712,1.64454093961654E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362846046686,-9.61051654816,0.696272134781,0,0,0,0,0,0,0,0,0,0.002013696,0.000730661632827,0.00140208041272,2.20699561106704E-06,4.2350455781588E-06
3195214800,770713,1.64454093961855E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38245934248,-9.57129001617,0.725692093372,0,0,0,0,0,0,0,0,0,0.002013696,0.000770156848115,0.001461323265655,2.32629264663149E-06,4.41399122213408E-06
3197030500,770714,1.64454093962057E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362846046686,-9.61051654816,0.735498726368,0,0,0,0,0,0,0,0,0,0.002014208,0.000730847410003,0.00148144741864,2.20811805001193E-06,4.47591486330677E-06
3199022200,770715,1.64454093962258E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.62032318115,0.696272134781,0,0,0,0,0,0,0,0,0,0.002015744,0.000810475508163,0.001403506378052,2.45056671408969E-06,4.24366434078005E-06
3201082700,770716,1.6445409396246E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.64974308014,0.696272134781,0,0,0,0,0,0,0,0,0,0.002013952,0.000809754993995,0.001402258658386,2.44621153449989E-06,4.23612244436211E-06
3203097700,770717,1.64454093962661E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.62032318115,0.666852176189,0,0,0,0,0,0,0,0,0,0.002012928,0.000809343271614,0.001342325417312,2.44372459956391E-06,4.05300662642783E-06
3205041000,770718,1.64454093962863E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362846046686,-9.62032318115,0.696272134781,0,0,0,0,0,0,0,0,0,0.002016512,0.000731683407295,0.001404041115052,2.21317255651652E-06,4.24689863549211E-06
3206966300,770719,1.64454093963064E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.62032318115,0.666852176189,0,0,0,0,0,0,0,0,0,0.002013696,0.0008096520634,0.001342837559783,2.44558968218985E-06,4.05609993417744E-06
3209427500,770720,1.64454093963266E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38245934248,-9.64974308014,0.696272134781,0,0,0,0,0,0,0,0,0,0.002013952,0.000770254757706,0.001402258658386,2.32688416468812E-06,4.23612244436211E-06
3211393300,770721,1.64454093963467E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.62032318115,0.696272134781,0,0,0,0,0,0,0,0,0,0.002013696,0.0008096520634,0.00140208041272,2.44558968218985E-06,4.2350455781588E-06
3213396000,770722,1.64454093963669E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362846046686,-9.62032318115,0.725692093372,0,0,0,0,0,0,0,0,0,0.002015744,0.000731404741531,0.001462809483062,2.21148707896907E-06,4.42297415793814E-06
3214993300,770723,1.6445409396387E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38245934248,-9.61051654816,0.725692093372,0,0,0,0,0,0,0,0,0,0.002014208,0.000770352667298,0.001461694820007,2.32747575793932E-06,4.41623610002387E-06
3217117300,770724,1.64454093964071E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.61051654816,0.666852176189,0,0,0,0,0,0,0,0,0,0.002013696,0.0008096520634,0.001342837559783,2.44558968218985E-06,4.05609993417744E-06
3218978600,770725,1.64454093964273E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.62032318115,0.725692093372,0,0,0,0,0,0,0,0,0,0.002016,0.000810578438758,0.001462995260238,2.4511891988053E-06,4.42409766695957E-06
3220958600,770726,1.64454093964474E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362846046686,-9.64974308014,0.696272134781,0,0,0,0,0,0,0,0,0,0.00201344,0.000730568744239,0.001401902167053,2.20643449860225E-06,4.23396884884817E-06
3223088000,770727,1.64454093964676E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.61051654816,0.735498726368,0,0,0,0,0,0,0,0,0,0.002016,0.000810578438758,0.001482765432358,2.4511891988053E-06,4.48388266745025E-06
3225109800,770728,1.64454093964877E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402072638273,-9.62032318115,0.725692093372,0,0,0,0,0,0,0,0,0,0.002014208,0.000809857924591,0.001461694820007,2.44683346586062E-06,4.41623610002387E-06
3227050500,770729,1.64454093965079E+018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451105892658,-9.62032318115,0.686465501785,0,0,0,0,0,0,0,0,0,0.002013696,0.000908390131622,0.001382332835082,2.74383236172957E-06,4.17539715101128E-06
