,field.header.stamp,time,file_name,North,West,North_dd,West_dd,lat,lon,lat_utm,lon_utm,North_deg,West_deg,North_minute_decimal,West_minute_decimal
679,1627577960831609488,2021-07-29 16:59:20.831609488,ply,4616.7232285400005,11940.887457285,46.278720475666674,-119.68145762141667,,,5128510.896951651,293416.81565790635,46,119,16.72322854000049,40.88745728499998
680,1627577961311002970,2021-07-29 16:59:21.311002970,ply,4616.722508305,11940.8874937,46.278708471749994,-119.68145822833334,,,5128509.564815219,293416.72375814745,46,119,16.722508304999792,40.88749370000005
681,1627577961815729141,2021-07-29 16:59:21.815729141,ply,4616.721731785,11940.887593595,46.27869552975,-119.68145989325,,,5128508.131210023,293416.54682328703,46,119,16.721731784999974,40.887593595
682,1627577962264280081,2021-07-29 16:59:22.264280081,ply,4616.721004695,11940.88765775,46.27868341158334,-119.6814609625,,,5128506.787585208,293416.4188761428,46,119,16.721004695000374,40.88765774999956
683,1627577962724538326,2021-07-29 16:59:22.724538326,ply,4616.720169455,11940.887714695,46.27866949091667,-119.68146191158333,,,5128505.243376705,293416.2934077595,46,119,16.72016945500036,40.887714694999886
684,1627577963195859909,2021-07-29 16:59:23.195859909,ply,4616.71943239,11940.887762499999,46.27865720650001,-119.68146270833331,,,5128503.880569787,293416.1858284675,46,119,16.719432390000293,40.887762499998644
685,1627577963631547928,2021-07-29 16:59:23.631547928,ply,4616.718695945,11940.887857804999,46.27864493241667,-119.68146429674998,,,5128502.5209753355,293416.0172987934,46,119,16.718695945000036,40.88785780499893
686,1627577964080054283,2021-07-29 16:59:24.080054283,ply,4616.717960624999,11940.887937635,46.27863267708332,-119.68146562724999,,,5128501.162791597,293415.8687092385,46,119,16.71796062499925,40.887937634999616
687,1627577964537686825,2021-07-29 16:59:24.537686825,ply,4616.71720739,11940.887977639999,46.27862012316667,-119.68146629399999,,,5128499.7697023675,293415.7701314257,46,119,16.717207390000112,40.88797763999901
688,1627577964997685909,2021-07-29 16:59:24.997685909,ply,4616.716471264999,11940.888039555,46.278607854416656,-119.68146732591667,,,5128498.409249362,293415.644493937,46,119,16.7164712649992,40.88803955500043
689,1627577965467360020,2021-07-29 16:59:25.467360020,ply,4616.715774485,11940.888119015,46.27859624141667,-119.68146865025001,,,5128497.122417278,293415.49879501393,46,119,16.71577448500011,40.888119015000484
690,1627577965860895634,2021-07-29 16:59:25.860895634,ply,4616.7151291400005,11940.88810966,46.278585485666675,-119.68146849433333,,,5128495.926971737,293415.4703570907,46,119,16.7151291400005,40.88810965999983
691,1627577966337521791,2021-07-29 16:59:26.337521553,ply,4616.714348485,11940.888142575,46.27857247475001,-119.68146904291667,,,5128494.482798493,293415.37916401774,46,119,16.7143484850003,40.88814257500053
692,1627577966859001637,2021-07-29 16:59:26.859001637,ply,4616.7135867,11940.88821904,46.27855977833333,-119.68147031733334,,,5128493.0754610915,293415.2332361145,46,119,16.713586699999723,40.88821903999997
