,North,North_dd,West,West_dd,field.header.stamp,file_name,lat,lat_utm,lon,lon_utm,time,North_deg,West_deg,North_minute_decimal,West_minute_decimal
1196,4616.741089794999,46.279018163249994,11940.852164695,-119.68086941158332,1627578199770415783,ply,0.8077212415389711,185642.04929560277,-2.0888252228814976,9125169.669881413,2021-07-29 17:03:19.770415783,46,119,16.741089794999425,40.852164694999374
1197,4616.741333975,46.27902223291667,11940.851900965,-119.68086501608335,1627578200211431503,ply,0.8077213125680539,185642.0660728364,-2.0888251461655507,9125169.687199507,2021-07-29 17:03:20.211431503,46,119,16.74133397500009,40.85190096500082
1198,4616.741654215,46.27902757025001,11940.851634205,-119.68086057008334,1627578200713708401,ply,0.807721405722094,185642.0879381163,-2.088825068568212,9125169.704589717,2021-07-29 17:03:20.713708401,46,119,16.74165421500038,40.851634205000664
1199,4616.741791655,46.27902986091667,11940.851479805,-119.68085799675,1627578201129962444,ply,0.8077214457017694,185642.09739179056,-2.0888250236550725,9125169.714738097,2021-07-29 17:03:21.129962444,46,119,16.74179165500027,40.851479805000054
1200,4616.741934705,46.279032245083336,11940.851343710001,-119.68085572850002,1627578201555751562,ply,0.8077214873133276,185642.10718844828,-2.088824984066642,9125169.723645397,2021-07-29 17:03:21.555751562,46,119,16.74193470499995,40.85134371000095
1201,4616.742080705,46.27903467841667,11940.851195485,-119.68085325808333,1627578201961397648,ply,0.807721529783006,185642.1172033866,-2.088824940949737,9125169.733363561,2021-07-29 17:03:21.961397648,46,119,16.742080705000262,40.85119548500006
1202,4616.74227207,46.27903786783333,11940.851032285,-119.68085053808333,1627578202364634037,ply,0.807721585448828,185642.13027597798,-2.0888248934767812,9125169.744010536,2021-07-29 17:03:22.364634037,46,119,16.74227206999967,40.85103228499975
1203,4616.742454,46.279040900000005,11940.85083059,-119.6808471765,1627578202722023249,ply,0.8077216383701199,185642.14278517256,-2.088824834806084,9125169.757263372,2021-07-29 17:03:22.722023249,46,119,16.74245400000018,40.85083058999953
1204,4616.74265303,46.279044217166664,11940.85060616,-119.680843436,1627578203129828453,ply,0.8077216962656,185642.15647671823,-2.0888247695220437,9125169.772015968,2021-07-29 17:03:23.129828453,46,119,16.74265302999993,40.8506061600001
1205,4616.74285583,46.27904759716667,11940.850416615001,-119.6808402769167,1627578203508283854,ply,0.8077217552577287,185642.170359386,-2.0888247143856384,9125169.784415344,2021-07-29 17:03:23.508283854,46,119,16.742855829999826,40.85041661500145
1206,4616.743110580001,46.27905184300001,11940.850122995,-119.68083538325,1627578203917716265,ply,0.8077218293615,185642.1878950718,-2.088824628975042,9125169.803725813,2021-07-29 17:03:23.917716265,46,119,16.743110580000575,40.850122994999765
